tShadeName,Pricing_Type,nShadePrice,CutLengthAddInches_inv,CutLengthFormula,DefaultPanelSpacing,HeightPoufAdjustment,HeightRodAdjustment,nHeaderboardIn,nHeaderboardOut,nLengthMultiply,nLengthMultiply_inv,nLengthPlus,nLengthPlus_inv,nOuterRings,nOuterRingsDivisor,nPoufAdjustment_inv,nPricePlusPercentage,nWidthMultiply,nWidthMultiply_inv,nWidthPlus,nWidthPlus_inv,poufy,RingRowMinimum,RodDeduction,RodType,Shade_Type,shadeShape,TDBU Clutch Deduction,TDBU Cord Lock Deduction,TDBU Motorized Deduction,tRingOrGrommet,tSideHemType,tTakeLining,tTakeReturn,Valance_Price,ValanceMinimum,is_tdbu,PanelPoufAdjustment,PanelRodAdjustment,WidthPlusInterlining
"Pillow - Dart Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
"Pillow - Dart Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,Square,,,,,,Yes,,,,,,,
Butterly,Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,,,8,10,no,1,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,,,,,
"Pillow - Bolster Flat  Edge 9""x 24"" ",Flat Fee,90,,FH + Board,,,,,,,,,,1,1,,,,,,,no,0,,,Shade,,,,,,,Yes,,,,,,,
"Shirred Valance (up to12"")",Linear Foot,15,,,,,,,,,,10,10,1,1,,,3,3,,,no,0,,,Valance,Square,,,,,,,,,5,,,,
Casual TD/BU-o,Square Feet,11.48,25,FH + Board,,,,,0.125,,,,35,1.5,15,,0.35,,,5,5,no,2,1,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Shirred Front Slat,Square Feet,11.5,,,,,,,,,1.75,,,1,15,,,,2,5,,no,0,,,Shade,Square,,,,,,,No,,0.1,,,,
Casual BU - NO Valance-o,Square Feet,10.63,15,FH + Board,,,,0.125,0.125,,,15,15,1,15,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Casual TD/BU - NO Valance-o,Square Feet,11.05,15,FH + Board,,,,,0.125,,,15,15,1,15,,0.35,,,5,5,no,2,1,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Back Slat BU - NO VALANCE,Square Feet,11.25,25,L + Spaces x 2,,,,,0.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Back Slat TD/BU - NO VALANCE,Square Feet,11.7,25,L + Spaces x 2,,,,,0.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Front Slat TD/BU - NO VALANCE,Square Feet,12.15,25,L + Spaces x 2,,,,0.125,0.125,,1.75,,,1.5,38,,0.35,,,5,5,no,2,1,Wood,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
Front Slat BU - NO VALANCE,Square Feet,11.7,25,L + Spaces x 2,,,,0.125,0.125,,1.75,,,1.5,38,,0.3,,,5,5,no,2,,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,,Yes,,,
RM-Soft Fold (shoo1/9),Square Feet,10,24,Spaces x PS,,,,0.125,0.125,,2,,,1.5,15,,,,,5,5,no,0,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.01,,,,
