,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEST-LINE NAME,BEST-LINE COLOR,FABRIC BOOK & ROTATION,PRICE GRADE,WIDTH/ REPEAT,VENDOR,VENDOR NAME,VENDOR COLOR,CUT PRICE     (BL pays per yard),PIECE PRICE    (BL pays per yard),WHOLESALE PRICE (BL charges per yard),SWATCH,,,,,
Logan,Parchment,EARTH 2           89,B,54/0,Fabricut,Plaza,Marzipan,$13.95,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Logan,Platinum,EARTH 2          51,B,54/0,Fabricut,Plaza,Natural,$13.95,,$28.25,,,,,,
Lowell,Cornflower,SKY             32,F,52            V-8            H-6.125,Fabricut,Rumex,Turquoise,$31.10,,$54.25,,,,,,
Lowell,Diamond,EARTH 2           1,F,52            V-8            H-6.125,Fabricut,Rumex,Grey,$31.10,,$54.25,,,,,,
Lowell,Ice,EARTH 2            10,F,52            V-8            H-6.125,Fabricut,Rumex,White,$31.10,,$54.25,,,,,,
Luminance,Brick,SKY            16,B,54                 V-0                H-4.625,Trend,02131,Brick,$12.95,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Magnolia,Almond,Wood,R,72/0,Newcastle,Sienna,2001 Sandbar,,$14.06,$42.00,,,,,,
Magnolia,Bone,Wood,R,72/0,Newcastle,Sienna,2000 Parchment,,$14.06,$42.00,,,,,,
Mercury,Teal,SKY          34,B,54                  V-16                  H-10.75,Trend,02098,Lagoon,$12.95,,$28.25,,,,,,
Mercury,Willow,SKY            45,B,54                  V-16                  H-10.75,Trend,02098,Avocado,$12.95,,$28.25,,,,,,
Mont Blanc,Brick,SKY          21,B,54/0,Trend,02022,Brick,$11.30,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Mont Blanc,Marzipan,EARTH 2           92,B,54/0,Trend,02022,Birch,$11.30,,$28.25,,,,,,
Mont Blanc,Sea,SKY              37,B,54/0,Trend,02022,Horizon,$11.30,,$28.25,,,,,,
Mont Blanc,Sunflower,SKY                   3,B,54/0,Trend,02022,Beeswax,$11.30,,$28.25,,,,,,
Montezuma,Taupe,EARTH 2                 85,C,54/0,Fabricut,Blokus,Linen,$17.95,,$32.00,,,,,,
Neptune,Rust,SKY                  14,C,54             V-21                  H-27,Trend,02117,Brick,$15.95,,$32.00,,,,,,
,,,,,,,,,,,,,,,,
Neptune,Umber,SKY                    5,C,54             V-21                  H-27,Trend,02117,Fresh Gold,$15.95,,$32.00,,,,,,
Neptune,Wedgewood,SKY                  38,C,54             V-21                  H-27,Trend,02117,Robins Egg,$15.95,,$32.00,,,,,,
Owen,Heather,EARTH 2                 63,B,54            V-12             H-9,Trend,02616,Dove Gray,$12.95,,$28.25,,,,,,
Owen,Raffia,EARTH 2                  46,B,54            V-12             H-9,Trend,02616,Cashew,$12.95,,$28.25,,,,,,
Palm,Beige,Wood,R,72/0,Newcastle,Homespun,J1202,,$20.90,$42.00,,,,,,
,,,,,,,,,,,,,,,,
Palm,Chocolate,Wood,R,72/0,Newcastle,Homespun,L 1200,,$20.90,$42.00,,,,,,
Palm,Tan,Wood,R,72/0,Newcastle,Homespun,K 1201,,$20.90,$42.00,,,,,,
Pecos,Ivory,EARTH 2             21,D,54            V-0           H-3.125,Fabricut,Aurelia,Ecru,$19.00,,$37.25,,,,,,
Pecos,Winter,EARTH 2             6,D,54            V-0           H-3.125,Fabricut,Aurelia,Talc,$19.00,,$37.25,,,,,,
Pike,Linen,EARTH 2                30,B,54/0,Fabricut,Belfast,Linen,,$11.50,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Pike,Natural,EARTH 2           87,B,54/0,Fabricut,Belfast,Natural,,$11.50,$28.25,,,,,,
Pike,Snow,EARTH 2            9,B,54/0,Fabricut,Belfast,Snow,,$11.50,$28.25,,,,,,
Pinnacles,Cashew,SKY            10,C,54             V-0          H-4,Trend,02620,Cashew,$14.95,,$32.00,,,,,,
Pinnacles,Steel,EARTH 2              64,C,54             V-0          H-4,Trend,02620,Dove Gray,$14.95,,$32.00,,,,,,
Pinnacles,Wedgewood,SKY              29,C,54             V-0          H-4,Trend,02620,Chambray,$14.95,,$32.00,,,,,,
,,,,,,,,,,,,,,,,
Pipestone,Beeswax,SKY             6,C,54/0,Fabricut,Tuscan,Caramel,$17.30,,$32.00,,,,,,
Pipestone,Buff,EARTH 2                    38,C,54/0,Fabricut,Tuscan,Cashmere,$17.30,,$32.00,,,,,,
Pipestone,Chocolate,EARTH 2                    69,C,54/0,Fabricut,Tuscan,Oak,$17.30,,$32.00,,,,,,
Pipestone,Flax,EARTH 2          86,C,54/0,Fabricut,Tuscan,Cement,$17.30,,$32.00,,,,,,
Pipestone,Hemp,SKY              48,C,54/0,Fabricut,Tuscan,Hemp,$17.30,,$32.00,,,,,,
,,,,,,,,,,,,,,,,
Pipestone,Off White,EARTH 2                    18,C,54/0,Fabricut,Tuscan,Ivory,$17.30,,$32.00,,,,,,
Pipestone,Rust,SKY             13,C,54/0,Fabricut,Tuscan,Pumpkin,$17.30,,$32.00,,,,,,
Ponderosa,Honey,Wood,T,72/0,Newcastle,Sumatra,SU 2,,$24.56,$54.00,,,,,,
Potomac,Cashmere,EARTH 2               28,C,54/0,Fabricut,Debut,Cloud,$17.40,,$32.00,,,,,,
Potomac,Champagne,EARTH 2           41,C,54/0,Fabricut,Debut,Rye,$17.40,,$32.00,,,,,,
,,,,,,,,,,,,,,,,
Potomac,Linen,EARTH 2           93,C,54/0,Fabricut,Debut,Taupe,$17.40,,$32.00,,,,,,
Potomac,Natural,EARTH 2           24,C,54/0,Fabricut,Debut,Linen,$17.40,,$32.00,,,,,,
Rio Grande,Charcoal,EARTH 2               66,B,55/0,Trend,02810,Pewter,$12.95,,$28.25,,,,,,
Rio Grande,Eggshell,EARTH 2            19,B,55/0,Trend,02810,Cream,$12.95,,$28.25,,,,,,
Rio Grande,Khaki,EARTH 2          82,B,55/0,Trend,02810,Raffia,$12.95,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Rio Grande,Taupe,EARTH 2        50,B,55/0,Trend,02810,Seagrass,$12.95,,$28.25,,,,,,
Rio Grande,Vanilla,EARTH 2        29,B,55/0,Trend,02810,Parchment,$12.95,,$28.25,,,,,,
Salem,Denim,SKY              28,A,54/0,Covington,Jefferson Linen,57 Smoky Blue,,$7.50,$22.00,,,,,,
Salem,Khaki,EARTH 2               75,A,54/0,Covington,Jefferson Linen,02 Desized,,$7.50,$22.00,,,,,,
Salem,Linen,EARTH 2       45,A,54/0,Covington,Jefferson Linen,11 Natural,,$7.50,$22.00,,,,,,
,,,,,,,,,,,,,,,,
Salem,Navy,SKY          26,A,54/0,Covington,Jefferson Linen,55 Navy,,$7.50,$22.00,,,,,,
Salem,Red,SKY               19,A,54/0,Covington,Jefferson Linen,Antique Red,,$7.50,$22.00,,,,,,
Salem,Wedgewood,SKY            40,A,54/0,Covington,Jefferson Linen,05 Porcelain Blue,,$7.50,$22.00,,,,,,
San Antonio,Parchment,EARTH 2           98,A,54/0,Trend,02840,Natural,$10.95,,$22.00,,,,,,
San Antonio,Silver,EARTH 2         61,A,54/0,Trend,02840,Platinum,$10.95,,$22.00,,,,,,
,,,,,,,,,,,,,,,,
Saratoga,Haze,EARTH 2             94,B,55              V-0                H-3.5,Covington,Galena,11 Natural,,$13.95,$28.25,,,,,,
Saratoga,Spa,SKY           43,B,55              V-0                H-3.5,Covington,Galena,224 Silver Sage,,$13.95,$28.25,,,,,,
Sassafrass,Parchment,Wood,S,72/0,Newcastle,San Remo,534 White,,$22.55,$48.00,,,,,,
Sassafrass,Pebble,Wood,S,72/0,Newcastle,San Remo,532 Pebble,,$22.55,$48.00,,,,,,
Sequoia,Coffee,Wood,T,72/0,Newcastle,Shanghai,WS 600,,$24.67,$54.00,,,,,,
,,,,,,,,,,,,,,,,
Sequoia,Java,Wood,T,72/0,Newcastle,Shanghai,WS 606,,$24.67,$54.00,,,,,,
Sequoia,Sand,Wood,T,72/0,Newcastle,Shanghai,WS 605,,$24.67,$54.00,,,,,,
Sequoia,Wood,Wood,T,72/0,Newcastle,Shanghai,WS 603,,$24.67,$54.00,,,,,,
Sequoia,Zebra,Wood,T,72/0,Newcastle,Shanghai,WS 602,,$24.67,$54.00,,,,,,
Shasta,Barley,SKY                49,B,55/0,Trend,01838,Barley,$11.50,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Shasta,Beach,EARTH 2            36,B,55/0,Trend,01838,Alabaster,$11.50,,$28.25,,,,,,
Shasta,Chambray,SKY                    33,B,55/0,Trend,01838,Wedgwood,$11.50,,$28.25,,,,,,
Shasta,Coconut,EARTH 2               22,B,55/0,Trend,01838,Coconut,$11.50,,$28.25,,,,,,
Shasta,Coffee,EARTH 2          67,B,55/0,Trend,01838,Espresso,$11.50,,$28.25,,,,,,
Shasta,Cornflower,SKY              30,B,55/0,Trend,01838,Cornflower,$11.50,,$28.25,,,,,,
,,,,,,,,,,,,,,,,
Shasta,Ivory,EARTH 2               16,B,55/0,Trend,01838,Oyster,$11.50,,$28.25,,,,,,
Shasta,Natural,EARTH 2          91,B,55/0,Trend,01838,Haze,$11.50,,$28.25,,,,,,
Shasta,Robin's Egg,EARTH 2          60,B,55/0,Trend,01838,Dove,$11.50,,$28.25,,,,,,
