shade_name,pricing_type,shade_price,cut_length_add_inches_invoice,cut_length_formula,default_panel_spacing,pouf_height_adjustment,rod_height_adjustment,headerboard_deduction_if_in,headerboard_deduction_if_out,length_multiplier,length_multipler_invoice,length_plus,length_plus_invoic,outer_rings,outer_rings_divsor,pouf_adjustment_invoice,add_percentage_to_price,width_multiplier,width_multiplier_invoice,width_plus,width_plus_invoic,is_pouf,ring_row_minimum ,rod_deduction,rod_type,shade_type,shade_shape,tdbu_clutch_deduction,tdbu_cord_lock_deduction,tdbu_motorized_deduction,ring_hardware,side_hem_width,take_lining,take_return,valance_price,valance_minimum_charge
"Pillow - Bolster Flat  Edge  7"" x 20"" ",Flat Fee,85,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,,,,,,,Yes,,,
"Pillow - Bolster Gathered  Edge  7"" x 20""",Flat Fee,85,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,,,,,,,Yes,,,
"Pillow - Flanged Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Flanged Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Soft Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Soft Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Knife Edge up to 24""",Flat Fee,60,,FH + Board,,,,,,,,,,,,,0,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Knife Edge up to 36""",Flat Fee,75,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Grid Face up to 36""",Flat Fee,120,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Grid Face up to 24""",Flat Fee,100,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Dart Edge up to 24""",Flat Fee,75,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
"Pillow - Dart Edge up to 36""",Flat Fee,85,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,Square,,,,,,Yes,,,
Butterly,Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,,,,,,8,10,no,1,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
"Pillow - Bolster Flat  Edge 9""x 24"" ",Flat Fee,90,,FH + Board,,,,,,,,,,,,,,,,,,no,,,,Shade,,,,,,,Yes,,,
"Shirred Valance (up to12"")",Linear Foot,15,,,,,,,,,,10,10,,,,,3,3,,,no,,,,Valance,Square,,,,,,,,,5
Casual TD/BU-o,Square Feet,11.48,25,FH + Board,,,,,.125,,,,35,1.5,15,,0.35,,,5,5,no,2,1,,Shade,Square,3.25,2.25,5,Brass Ring,1,Yes,No,,
Shirred Front Slat,Square Feet,11.5,,,,,,,,,1.75,,,,15,,,,2,5,,no,,,,Shade,Square,,,,,,,No,,0.1
